,YEAR,TEAM,SEED,ROUND,WAB,BADJ EM,BARTHAG,TALENT,BADJ O,BADJ D,ELITE SOS,WIN%,PPPO,K OFF,AVG HGT
180,2022,Richmond,12,32,-1.6,8.3,0.716,15.581,107.7,99.4,19.541,65.71429,1.057,105.575,76.674
181,2022,Rutgers,11,68,-0.7,9.0,0.738,51.706,104.6,95.6,28.945,58.06452,1.025,102.697,78.702
182,2022,Saint Mary's,5,32,3.9,17.7,0.887,32.634,107.8,90.1,25.887,77.41935,1.06,106.095,77.82
183,2022,Saint Peter's,15,8,-5.6,3.5,0.604,0.2,97.6,94.1,12.317,62.06897,0.983,98.7557,76.197
184,2022,San Diego St.,8,64,2.6,15.0,0.863,31.863,101.4,86.4,23.962,74.19355,0.993,99.3087,77.275
185,2022,San Francisco,10,64,1.6,17.2,0.877,3.516,109.4,92.2,24.113,71.875,1.076,107.272,77.33
186,2022,Seton Hall,8,64,2.1,13.5,0.826,67.935,106.8,93.3,28.752,66.66667,1.038,103.686,78.886
187,2022,South Dakota St.,13,64,1.5,11.0,0.761,0.603,115.0,104.0,11.018,87.5,1.191,119.382,76.682
188,2022,TCU,9,32,2.9,14.5,0.841,65.515,107.4,92.9,36.146,62.5,1.01,101.094,77.933
189,2022,Tennessee,3,32,8.0,23.2,0.938,69.805,110.1,86.9,34.071,78.78788,1.058,105.997,76.747
190,2022,Texas,6,32,3.3,21.1,0.918,78.557,111.6,90.5,35.097,65.625,1.056,105.723,76.788
191,2022,Texas A&M Corpus Chris,16,68,-7.6,-6.5,0.321,3.592,96.4,102.9,7.53,63.33333,1.024,102.501,75.778
192,2022,Texas Southern,16,64,-6.8,-1.7,0.45,16.145,96.9,98.6,11.938,60.0,0.996,99.3772,77.009
193,2022,Texas Tech,3,16,6.5,23.6,0.943,22.03,109.1,85.5,35.796,73.52941,1.051,104.973,78.314
194,2022,UAB,12,64,-0.1,13.0,0.807,28.246,111.1,98.1,14.007,78.125,1.121,111.84,76.646
195,2022,UCLA,4,16,5.1,23.5,0.933,79.66,115.1,91.6,27.038,78.125,1.117,111.821,77.88
196,2022,USC,7,64,4.1,13.3,0.816,59.267,109.3,96.0,24.007,78.78788,1.068,106.564,79.116
197,2022,Vermont,13,64,-0.8,11.2,0.778,4.679,108.6,97.4,8.437,84.375,1.143,114.506,76.344
198,2022,Villanova,2,4,7.4,24.1,0.934,69.071,117.1,93.0,31.835,78.78788,1.127,112.845,77.347
199,2022,Virginia Tech,11,64,1.7,19.8,0.898,20.673,114.7,94.9,28.436,65.71429,1.111,111.1,76.763
200,2022,Wisconsin,3,32,6.5,16.3,0.863,62.378,110.1,93.8,31.803,77.41935,1.053,105.178,78.364
201,2022,Wright St.,16,64,-8.4,-2.7,0.427,9.944,104.2,106.9,8.923,60.60606,1.086,108.996,76.961
202,2022,Wyoming,12,68,1.9,11.2,0.777,1.779,108.7,97.5,21.516,75.0,1.07,107.367,78.721
203,2022,Yale,14,64,-4.9,1.4,0.541,9.416,99.8,98.4,14.651,62.06897,1.017,101.727,76.299
272,2019,Abilene Christian,15,64,-2.5,1.2,0.534,1.775,102.2,101.0,7.994,79.31034,1.068,107.102,75.895
273,2019,Arizona St.,11,64,0.2,11.0,0.773,71.073,108.9,97.9,21.239,68.75,1.062,106.426,77.624
274,2019,Auburn,5,4,6.1,23.5,0.926,57.754,119.4,95.9,32.322,73.52941,1.138,113.662,76.563
275,2019,Baylor,9,32,0.9,13.9,0.821,57.749,112.0,98.1,32.475,59.375,1.071,107.248,76.915
276,2019,Belmont,11,64,1.4,12.1,0.785,6.407,113.4,101.3,14.18,83.33333,1.16,116.393,77.45
277,2019,Bradley,15,64,-7.6,-1.1,0.469,3.589,100.0,101.1,11.714,57.57576,1.004,100.293,76.734
278,2019,Buffalo,6,32,5.7,18.0,0.88,7.39,113.2,95.2,17.002,90.90909,1.13,112.955,76.493
279,2019,Cincinnati,7,64,5.9,18.2,0.885,51.633,112.1,93.9,24.662,82.35294,1.098,109.572,76.833
280,2019,Colgate,15,64,-4.1,2.9,0.577,10.836,108.4,105.5,11.298,69.69697,1.107,110.64,77.685
