,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_o_1,badj_d_1,wab_1,barthag_1,talent_1,elite_sos_1,win_percent_1,pppo_1,k_off_1,avg_hgt_1,badj_em_2,badj_o_2,badj_d_2,wab_2,barthag_2,talent_2,elite_sos_2,win_percent_2,pppo_2,k_off_2,avg_hgt_2,winner,badj_em_diff,badj_o_diff,badj_d_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff,avg_hgt_diff
67,2023,San Diego St.,5,2,32,Furman,13,32,21.2,90.1,111.3,5.8,0.919,37.236,25.602,81.25,1.064,106.67,76.704,7.8,111.3,90.1,-2.0,0.697,4.159,10.319,77.41935484,1.155,115.465,76.607,1,13.399999999999999,-21.200000000000003,21.200000000000003,7.8,0.2220000000000001,33.077,15.283,3.830645160000003,-0.09099999999999997,-8.795000000000002,0.0969999999999942
68,2023,Creighton,6,8,32,Baylor,3,32,21.0,92.8,113.8,1.9,0.913,67.359,32.269,63.63636364,1.095,109.592,77.87,21.4,113.8,92.8,5.3,0.904,57.276,36.633,68.75,1.132,113.141,77.08,1,-0.3999999999999986,-21.0,21.0,-3.4,0.009000000000000008,10.082999999999991,-4.364000000000004,-5.113636360000001,-0.03699999999999992,-3.5490000000000066,0.7900000000000063
69,2023,Missouri,7,32,32,Princeton,15,16,13.7,103.8,117.5,3.5,0.806,21.934,28.374,72.72727273,1.123,112.445,76.423,6.0,117.5,103.8,-3.2,0.659,0.2,11.173,70.37037037,1.081,108.055,77.419,0,7.699999999999999,-13.700000000000003,13.700000000000003,6.7,0.14700000000000002,21.734,17.201,2.3569023599999923,0.04200000000000004,4.389999999999986,-0.9959999999999951
70,2023,Fairleigh Dickinson,16,32,32,Florida Atlantic,9,4,-12.4,117.0,104.6,-12.2,0.216,0.2,5.422,53.125,1.088,108.88,73.373,17.4,104.6,117.0,4.8,0.874,17.083,16.095,90.625,1.129,112.947,76.04,0,-29.799999999999997,12.400000000000006,-12.400000000000006,-17.0,-0.658,-16.883,-10.672999999999998,-37.5,-0.040999999999999925,-4.067000000000007,-2.6670000000000016
71,2023,Duke,5,32,32,Tennessee,4,16,18.8,93.1,111.9,4.5,0.892,81.592,26.527,76.47058824,1.1,110.245,79.085,24.9,111.9,93.1,2.8,0.949,60.04,28.429,69.6969697,1.08,108.476,77.428,0,-6.099999999999998,-18.80000000000001,18.80000000000001,1.7000000000000002,-0.05699999999999994,21.552,-1.9019999999999975,6.773618540000001,0.020000000000000018,1.7690000000000055,1.6569999999999965
72,2023,Kentucky,6,32,32,Kansas St.,3,8,16.9,97.8,114.7,1.6,0.862,61.864,29.746,65.625,1.115,111.767,77.638,17.2,114.7,97.8,4.3,0.875,48.155,30.879,71.875,1.051,104.952,76.284,0,-0.3000000000000007,-16.900000000000006,16.900000000000006,-2.6999999999999997,-0.013000000000000012,13.708999999999996,-1.1330000000000027,-6.25,0.06400000000000006,6.814999999999998,1.3539999999999992
73,2023,Michigan St.,7,16,32,Marquette,2,32,16.6,95.0,111.6,2.4,0.864,70.568,34.618,61.29032258,1.06,105.971,77.744,23.0,111.6,95.0,7.6,0.922,59.052,30.614,82.35294118,1.132,113.246,77.191,1,-6.399999999999999,-16.599999999999994,16.599999999999994,-5.199999999999999,-0.05800000000000005,11.515999999999998,4.004000000000001,-21.0626186,-0.07199999999999984,-7.2749999999999915,0.5529999999999973
74,2023,Houston,1,16,32,Auburn,9,32,29.1,88.0,117.1,8.1,0.964,68.424,23.376,91.17647059,1.158,116.021,76.743,17.7,117.1,88.0,1.1,0.881,47.081,30.519,62.5,1.054,105.387,76.74,1,11.400000000000002,-29.099999999999994,29.099999999999994,7.0,0.08299999999999996,21.343000000000004,-7.142999999999997,28.676470589999994,0.10399999999999987,10.634,0.0030000000000001137
75,2023,Miami FL,5,4,32,Indiana,4,32,15.9,101.4,117.3,3.7,0.842,44.964,23.676,78.125,1.147,114.539,76.786,16.7,117.3,101.4,3.4,0.864,83.728,33.014,66.66666667,1.092,108.931,78.592,1,-0.7999999999999989,-15.899999999999991,15.899999999999991,0.30000000000000027,-0.02200000000000002,-38.763999999999996,-9.338000000000005,11.458333330000002,0.05499999999999994,5.608000000000004,-1.8059999999999974
76,2023,Pittsburgh,11,32,32,Xavier,3,16,11.0,101.5,112.5,-0.2,0.766,25.648,23.352,66.66666667,1.117,111.897,77.393,20.2,112.5,101.5,5.2,0.895,53.584,31.866,73.52941176,1.129,112.788,78.386,0,-9.2,-11.0,11.0,-5.4,-0.129,-27.936000000000003,-8.514,-6.862745090000004,-0.01200000000000001,-0.8909999999999911,-0.992999999999995
