,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_em_2,barthag_1,barthag_2,elite_sos_1,elite_sos_2,k_off_1,k_off_2,pppo_1,pppo_2,talent_1,talent_2,wab_1,wab_2,win_percent_1,win_percent_2,winner,badj_em_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff
36,2023,Fairleigh Dickinson,16,32,32,Florida Atlantic,9,4,-12.4,17.4,0.216,0.874,5.422,16.095,108.88,112.947,1.088,1.129,0.2,17.083,-12.2,4.8,53.125,90.625,0,-29.799999999999997,-17.0,-0.658,-16.883,-10.672999999999998,-37.5,-0.040999999999999925,-4.067000000000007
37,2023,Duke,5,32,32,Tennessee,4,16,18.8,24.9,0.892,0.949,26.527,28.429,110.245,108.476,1.1,1.08,81.592,60.04,4.5,2.8,76.47058824,69.6969697,0,-6.099999999999998,1.7000000000000002,-0.05699999999999994,21.552,-1.9019999999999975,6.773618540000001,0.020000000000000018,1.7690000000000055
38,2023,Kentucky,6,32,32,Kansas St.,3,8,16.9,17.2,0.862,0.875,29.746,30.879,111.767,104.952,1.115,1.051,61.864,48.155,1.6,4.3,65.625,71.875,0,-0.3000000000000007,-2.6999999999999997,-0.013000000000000012,13.708999999999996,-1.1330000000000027,-6.25,0.06400000000000006,6.814999999999998
39,2023,Michigan St.,7,16,32,Marquette,2,32,16.6,23.0,0.864,0.922,34.618,30.614,105.971,113.246,1.06,1.132,70.568,59.052,2.4,7.6,61.29032258,82.35294118,1,-6.399999999999999,-5.199999999999999,-0.05800000000000005,11.515999999999998,4.004000000000001,-21.0626186,-0.07199999999999984,-7.2749999999999915
40,2023,Houston,1,16,32,Auburn,9,32,29.1,17.7,0.964,0.881,23.376,30.519,116.021,105.387,1.158,1.054,68.424,47.081,8.1,1.1,91.17647059,62.5,1,11.400000000000002,7.0,0.08299999999999996,21.343000000000004,-7.142999999999997,28.676470589999994,0.10399999999999987,10.634
41,2023,Miami FL,5,4,32,Indiana,4,32,15.9,16.7,0.842,0.864,23.676,33.014,114.539,108.931,1.147,1.092,44.964,83.728,3.7,3.4,78.125,66.66666667,1,-0.7999999999999989,0.30000000000000027,-0.02200000000000002,-38.763999999999996,-9.338000000000005,11.458333330000002,0.05499999999999994,5.608000000000004
42,2023,Pittsburgh,11,32,32,Xavier,3,16,11.0,20.2,0.766,0.895,23.352,31.866,111.897,112.788,1.117,1.129,25.648,53.584,-0.2,5.2,66.66666667,73.52941176,0,-9.2,-5.4,-0.129,-27.936000000000003,-8.514,-6.862745090000004,-0.01200000000000001,-0.8909999999999911
43,2023,Penn St.,10,32,32,Texas,2,8,15.5,23.0,0.84,0.929,29.963,34.531,109.964,109.362,1.101,1.095,28.67,67.877,1.3,7.6,62.85714286,76.47058824,0,-7.5,-6.3,-0.08900000000000008,-39.206999999999994,-4.567999999999998,-13.613445379999995,0.006000000000000005,0.6020000000000039
44,2023,Kansas,1,32,32,Arkansas,8,16,21.4,18.7,0.918,0.894,38.229,30.654,106.078,105.743,1.062,1.058,69.643,70.997,10.1,0.4,79.41176471,60.60606061,0,2.6999999999999993,9.7,0.02400000000000002,-1.3539999999999992,7.574999999999999,18.8057041,0.0040000000000000036,0.33500000000000796
45,2023,Saint Mary's,5,32,32,Connecticut,4,1,22.6,26.4,0.931,0.947,22.971,29.244,110.407,114.228,1.103,1.144,32.764,62.486,3.6,4.9,78.125,75.75757576,0,-3.799999999999997,-1.3000000000000003,-0.015999999999999903,-29.721999999999994,-6.273,2.3674242400000054,-0.040999999999999925,-3.820999999999998
46,2023,TCU,6,32,32,Gonzaga,3,8,17.0,24.0,0.873,0.925,32.804,26.846,105.499,120.383,1.057,1.205,60.589,76.992,2.3,6.8,63.63636364,84.375,0,-7.0,-4.5,-0.052000000000000046,-16.403000000000006,5.958000000000002,-20.73863636,-0.14800000000000013,-14.884
47,2023,Northwestern,7,32,32,UCLA,2,16,14.9,25.8,0.85,0.951,28.65,28.811,102.638,109.714,1.028,1.098,46.694,83.585,1.6,8.5,65.625,85.29411765,0,-10.9,-6.9,-0.10099999999999998,-36.89099999999999,-0.16100000000000136,-19.669117650000004,-0.07000000000000006,-7.075999999999993
48,2023,Alabama,1,16,16,San Diego St.,5,2,27.1,21.2,0.956,0.919,33.7,25.602,110.862,106.67,1.106,1.064,66.119,37.236,10.2,5.8,85.29411765,81.25,0,5.900000000000002,4.3999999999999995,0.03699999999999992,28.883000000000003,8.098000000000003,4.044117650000004,0.04200000000000004,4.191999999999993
